Center, Six, Solutions, Pangrams
a, bcdefg, 62, 0
a, bcdefh, 69, 0
a, bcdefk, 58, 1
a, bcdefl, 124, 1
a, bcdefr, 163, 2
a, bcdefr, 163, 2
a, bcdegr, 214, 0
a, bcdehs, 159, 3
a, bcdehu, 61, 8
a, bcdeir, 228, 8
a, bcdelr, 278, 2
a, bcdeor, 198, 9
a, bcders, 334, 1
a, bcehrt, 357, 2
a, bceilr, 273, 11
a, bceint, 173, 14
a, bceirt, 359, 17
a, bceirt, 359, 17
a, bcelor, 253, 20
a, bcelrs, 378, 12
a, bcerst, 517, 12
a, beilrt, 442, 27
a, beirst, 558, 28
a, beirst, 558, 28
a, cdeirt, 394, 29
a, cefirt, 337, 38
a, cehirt, 406, 42
a, cehrst, 650, 46
a, cehrst, 650, 46
a, ceinrt, 545, 83
a, ceprst, 676, 21
a, einrst, 767, 112
a, einrst, 767, 112
c, enortu, 420, 128
e, adirst, 794, 29
e, ainrst, 951, 112
t, aeinrs, 996, 112
